iteration	clock	beta	gain_01	loss_10	gain_12	loss_21	weights	eweights	nweights	re_norm_w
1	3.54515075684	3.4796025753	0.0926443297683	0.28370798434	0.520288792529	0.103358893363	-57.8301642773	7.74031677097057e-26	7.66794107442087e-26	1.7427138805502e-27
2	0.927465558052	0.022291790694	0.260916633614	0.468819952096	0.125727016272	0.144536398019	-27.4622272446	1.195050380644e-12	1.18387608296726e-12	2.69062746128924e-14
3	0.284276723862	0.868715584278	0.0356456206268	0.593136516004	0.255640630435	0.115577232935	-64.340824388	1.15137017368559e-28	1.14060430701983e-28	2.59228251595416e-30
4	1.12642157078	1.36268305779	0.561266016774	0.21041951582	0.0645724447797	0.163742022627	-42.797956072	2.61314680520578e-19	2.58871262172085e-19	5.88343777663832e-21
5	1.43143451214	0.137530103326	0.0431986191142	0.0690325038649	0.744244889031	0.14352398799	-40.5303533061	2.5233133024675e-18	2.49971910557828e-18	5.6811797854052e-20
6	0.0406955853105	0.267007917166	0.389670512506	0.00635014662884	0.0440772954735	0.559902045391	-201.252322535	3.99306905192902e-88	3.95573192961791e-88	8.99029984004074e-90
7	0.0385661497712	0.335433393717	0.626189648702	0.0215415062213	0.312971522041	0.0392973230354	-237.017128938	1.17178720982488e-103	1.16083043401989e-103	2.63825098640885e-105
8	2.05419754982	3.58684325218	0.501018437042	0.0685742057325	0.215938699798	0.214468657427	-602.300461971	2.6810992173001e-262	2.65602964597471e-262	6.03643101357891e-264
9	0.942419707775	0.635984539986	0.0321973631053	0.523126672158	0.30561924885	0.139056715886	-115.799197835	5.16567809447816e-51	5.11737651182956e-51	1.1630401163249e-52
10	0.0121431825683	1.29872632027	0.325453880419	0.402199077605	0.0775292492477	0.194817792728	-160.33700742	2.34748269942042e-70	2.32553260350883e-70	5.285301371611e-72
11	3.05675721169	0.770337104797	0.367938618365	0.297992932378	0.313329437953	0.0207390113043	-204.018637737	2.51137399609019e-89	2.48789143747637e-89	5.65429872153722e-91
12	0.296005040407	0.0326960645616	0.161568918625	0.257215532996	0.282984761969	0.29823078641	-37.6190583248	4.63799763446479e-17	4.59463011872574e-17	1.04423411789222e-18
13	1.74534773827	2.63221216202	0.244917110111	0.248004388463	0.459471613887	0.0476068875395	-186.366998881	1.16391360520093e-81	1.15303045139823e-81	2.6205237531778e-83
14	0.229057475924	3.00837850571	0.350157297807	0.198681502123	0.0390157120241	0.412145488046	-204.407451794	1.70236073460678e-89	1.68644284034073e-89	3.83282463713803e-91
15	0.379208743572	0.0890033617616	0.255249245535	0.432755491291	0.196549767613	0.115445495561	-240.576374118	3.33494143694098e-105	3.30375812537984e-105	7.50854119404512e-107
16	0.00913037639111	1.67593920231	0.418781165859	0.135642130333	0.40793031279	0.0376463910172	-515.129073543	1.9335965387818e-224	1.9155164781743e-224	4.35344654130524e-226
17	1.43562602997	0.328015387058	0.0589543087202	0.198849430249	0.410224595423	0.331971665608	-12.0290689685	6.02450948126947e-06	5.96817741076397e-06	1.35640395699182e-07
18	0.184341296554	2.05307888985	0.0463286059626	0.152883351882	0.796030083204	0.00475795895173	-411.455377672	2.04776396001311e-179	2.02861637893074e-179	4.61049177029716e-181
19	0.21326969564	0.51836836338	0.471137631147	0.160036299295	0.238478509572	0.130347559985	-194.420136088	3.70243713961834e-85	3.66781756591867e-85	8.33594901345157e-87
20	0.881245493889	1.39321672916	0.064389826503	0.259497372641	0.570696428415	0.105416372441	-236.519203653	1.92794640600677e-103	1.90991917686693e-103	4.34072540197032e-105
21	0.755778968334	0.23671643436	0.0679394381688	0.882111398306	0.00698498408509	0.04296417944	-946.906286437	0	0	0
22	0.0135305812582	0.498900681734	0.167411082949	0.198651990283	0.55980010461	0.0741368221579	-284.873148718	1.92860566019574e-124	1.91057226671114e-124	4.3422096970708e-126
23	0.734063923359	0.298647284508	0.0698205890735	0.15488773018	0.555767505495	0.219524175252	-211.820451972	1.02713262014944e-92	1.01752843455447e-92	2.31256462398745e-94
24	0.524947345257	0.489488422871	0.0755744162599	0.336015276439	0.261797997978	0.326612309323	-163.117563963	1.45553293553529e-71	1.4419230002862e-71	3.27709772792319e-73
25	0.318747103214	0.112390220165	0.0305657064808	0.686823015832	0.200843357459	0.0817679202287	-113.805256343	3.79389342003337e-50	3.75841868598371e-50	8.54186064996302e-52
26	0.268152594566	0.0985191836953	0.149320632721	0.256842338678	0.33307406529	0.260762963311	-90.8890577407	3.39988107055843e-40	3.36809054208927e-40	7.6547512320211e-42
27	0.278901308775	0.842781364918	0.137837470048	0.770890162565	0.0862749536254	0.00499741376126	-122.745221754	4.97172936515226e-54	4.92524129670408e-54	1.1193730219782e-55
28	0.0959209799767	1.63121283054	0.418242275987	0.129636227181	0.368274722591	0.0838467742418	-169.414943437	2.67981541529361e-74	2.65475784813642e-74	6.03354056394644e-76
29	0.074450366199	2.99007225037	0.475664946841	0.277640750537	0.142790044039	0.103904258584	-188.823345772	9.98028272626068e-83	9.88696226723435e-83	2.24703687891691e-84
30	0.683409869671	0.668611288071	0.489358645639	0.165733139551	0.212899206369	0.132009008441	-213.726971721	1.526284575608e-93	1.51201307838621e-93	3.43639335996867e-95
31	0.568390130997	0.883362710476	0.237945798578	0.308093958114	0.427391462611	0.0265687806964	-65.6635353606	3.06738929998811e-29	3.03870773000272e-29	6.90615393182438e-31
32	0.0635617673397	0.297955095768	0.349312794486	0.189009488815	0.0634540780493	0.39822363865	-198.712833046	5.06049607576661e-87	5.01317799574381e-87	1.13935863539632e-88
33	0.219017475843	0.532340049744	0.297258044616	0.0650399524978	0.0306115050449	0.607090497841	-195.853626819	8.82938754218112e-86	8.74682850843857e-86	1.98791557009968e-87
34	0.310570210218	3.09624862671	0.441929986501	0.289505482843	0.00935898108798	0.259205549569	-44.0056979856	7.80994832241851e-20	7.7369215372652e-20	1.75839125846937e-21
35	0.229353696108	0.37765571475	0.160897216782	0.533953199128	0.0985601791937	0.206589404896	-116.150863248	3.63413445112355e-51	3.6001535405177e-51	8.18216713754025e-53
36	0.732345461845	0.196351319551	0.746312820434	0.0898715043674	0.0109758201172	0.152839855082	-539.77917227	3.81034240927669e-235	3.77471386924089e-235	8.57889515736569e-237
37	0.123656183481	0.0346207022667	0.0794875296185	0.340775132192	0.083634040373	0.496103297816	-72.3655891408	3.76793952783941e-32	3.73270747520465e-32	8.4834260800106e-34
38	0.0792926028371	1.54687178135	0.512344166744	0.155519629053	0.240347538459	0.0917886657439	-66.0239828573	2.1390874486594e-29	2.11908594889415e-29	4.81610442930492e-31
39	0.431437075138	1.51039803028	0.435798289531	0.139196691399	0.0828613879872	0.342143631083	-202.792620696	8.55783342166086e-89	8.47781354997137e-89	1.92677580681168e-90
40	2.01353979111	0.0924598649144	0.240478188498	0.649412929901	0.109969295433	0.000139586167961	-155.443343415	3.13251871206968e-68	3.10322815065606e-68	7.05279125149107e-70
41	0.0870646610856	2.13558459282	0.112022681774	0.257673065952	0.0737939726842	0.55651027959	-444.179389387	1.25725155582502e-193	1.24549564714797e-193	2.8306719253363e-195
42	0.160968318582	0.576986968517	0.338591603237	0.0258327738853	0.138387639716	0.497187983162	-371.115760934	6.76944161184791e-162	6.70614406648807e-162	1.52412365147457e-163
43	0.0275336224586	1.90615415573	0.284031590163	0.343075973047	0.0921470255421	0.280745411248	-314.061390855	4.06397418396519e-137	4.02597406445747e-137	9.1499410555852e-139
44	0.21136829257	1.00265455246	0.141644755759	0.139365957099	0.342804314585	0.376184972557	-230.676394026	6.64652950237728e-101	6.58438124454669e-101	1.49645028285153e-102
45	0.472000807524	0.145541340113	0.213453076574	0.366153214521	0.410133312478	0.0102603964275	-106.72757938	4.49656810922028e-47	4.45452302778272e-47	1.01239159722335e-48
46	0.185486391187	0.922837972641	0.0931910444395	0.372517304201	0.389891089266	0.144400562094	-149.663012622	1.014517261895e-65	1.00503103598668e-65	2.28416144542428e-67
47	0.368435263634	1.01399171352	0.252939346642	0.14767551321	0.13962233993	0.459762800218	-130.001839141	3.50750736353777e-57	3.47471047729904e-57	7.89706926658875e-59
48	0.38696423173	0.0239452477545	0.583464799032	0.0529940512214	0.176308392662	0.187232757085	-103.966672815	7.11095061090377e-46	7.04445979162298e-46	1.60101358900523e-47
49	0.218973070383	0.186089336872	0.422938290606	0.0577869520175	0.514861924814	0.00441283256241	-253.861601544	5.66744416202754e-111	5.61445082454274e-111	1.27601155103245e-112
50	0.50694924593	0.327903270721	0.10586177587	0.51291370455	0.14658079981	0.23464371977	-417.419407334	5.26180468344266e-182	5.21260427080569e-182	1.18468278881948e-183
51	0.615643084049	3.29145431519	0.0334095356057	0.439096827022	0.413822592995	0.113671044377	-169.486704809	2.49424616496602e-74	2.47092375983747e-74	5.61573581781246e-76
52	0.664164602757	0.111959241331	0.509961778761	0.207483809603	0.178614278588	0.103940133048	-117.375351767	1.06810115278364e-51	1.05811389164103e-51	2.40480429918416e-53
53	0.216333851218	1.97450625896	0.0674641422647	0.284474607093	0.419569314763	0.22849193588	-76.1667039747	8.41977966448589e-34	8.34105066203761e-34	1.89569333228128e-35
54	0.0342975221574	0.974844157696	0.0666066157429	0.359577183091	0.256719925592	0.317096275574	-268.6998504	2.03806321607976e-117	2.01900634163383e-117	4.58865077644055e-119
55	0.399560242891	0.169407993555	0.0488015106218	0.604614377709	0.0712094441853	0.275374667484	-222.37843983	2.66901279174966e-97	2.64405623433493e-97	6.00921871439759e-99
56	0.0652412846684	2.02986001968	0.308526207365	0.225909277166	0.0682260584946	0.397338456975	-97.841146066	3.25244624976062e-43	3.22203430800395e-43	7.32280524546355e-45
57	1.95927846432	4.48672485352	0.152806184956	0.261968532586	0.436444792145	0.148780490313	-92.0643316461	1.04966025627956e-40	1.03984542641708e-40	2.36328506003883e-42
58	0.80065715313	1.88392758369	0.192914462793	0.0987369086486	0.570685726612	0.137662901946	-73.4947393521	1.21820455240996e-32	1.2068137520552e-32	2.7427585273982e-34
59	0.000316309626214	1.98071098328	0.00286150832909	0.571523595047	0.403129128085	0.0224857685382	-342.960568892	1.14339789267691e-149	1.13270657068524e-149	2.57433311519374e-151
60	0.509662270546	0.839085996151	0.113332233601	0.401544258685	0.136962235464	0.348161272249	-93.7439688706	1.95700337865169e-41	1.93870445279749e-41	4.40614648363067e-43
