Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
2800	-17.18016	-16.89714	-0.2830142	1.717705	0.357069	0.357069	0.001842344	0.7455384	0.1686849	0.08393439	0.00184234	0	0.745538	0.168685	0	0.0839344	0.00184234	0.745538	0.168685	0.0839344
2900	-17.90045	-18.07176	0.1713091	1.601479	0.0189711	0.0189711	0.1370456	0.3542084	0.3411843	0.1675618	0.137046	0	0.354208	0.341184	0	0.167562	0.137046	0.354208	0.341184	0.167562
3000	-18.11667	-16.87144	-1.245224	2.2466	0.790383	0.790383	0.1006677	0.5942995	0.2327803	0.07225247	0.100668	0	0.5943	0.23278	0	0.0722525	0.100668	0.5943	0.23278	0.0722525
3100	-22.8467	-22.16379	-0.6829068	1.712287	0.762379	0.762379	0.0960885	0.6146861	0.1398979	0.1493275	0.0960885	0	0.614686	0.139898	0	0.149328	0.0960885	0.614686	0.139898	0.149328
3200	-22.32993	-21.66332	-0.6666126	1.582035	0.876337	0.876337	0.1993551	0.4315909	0.2949255	0.07412857	0.199355	0	0.431591	0.294926	0	0.0741286	0.199355	0.431591	0.294926	0.0741286
3300	-20.83067	-21.58362	0.7529493	0.6828065	0.356004	0.356004	0.1778109	0.610466	0.1036909	0.1080322	0.177811	0	0.610466	0.103691	0	0.108032	0.177811	0.610466	0.103691	0.108032
3400	-13.98091	-13.56379	-0.4171159	1.812634	0.396241	0.396241	0.03915779	0.4581192	0.4354675	0.06725554	0.0391578	0	0.458119	0.435467	0	0.0672555	0.0391578	0.458119	0.435467	0.0672555
3500	-17.85006	-17.02035	-0.8297109	2.240697	0.380774	0.380774	0.1408951	0.4986479	0.2803994	0.08005754	0.140895	0	0.498648	0.280399	0	0.0800575	0.140895	0.498648	0.280399	0.0800575
3600	-20.36815	-20.14675	-0.2214026	1.886316	0.126847	0.126847	0.1949965	0.3195332	0.4394426	0.04602768	0.194997	0	0.319533	0.439443	0	0.0460277	0.194997	0.319533	0.439443	0.0460277
3700	-21.12369	-20.49328	-0.6304055	0.8255672	1.5966	1.5966	0.08472911	0.3705712	0.4848897	0.05981004	0.0847291	0	0.370571	0.48489	0	0.05981	0.0847291	0.370571	0.48489	0.05981
