Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
0	-22.42275	-22.75106	0.3283159	0.4008567	1.06259	1.06259	0.5254913	0.2196649	0.2085076	0.04633615	0.525491	0	0.219665	0.208508	0	0.0463361	0.525491	0.219665	0.208508	0.0463361
100	-26.38445	-24.04646	-2.337992	4.038453	0.0912986	0.0912986	0.06841811	0.4485522	0.4702436	0.01278601	0.0684181	0	0.448552	0.470244	0	0.012786	0.0684181	0.448552	0.470244	0.012786
200	-18.99288	-18.97963	-0.01325112	1.504406	0.300604	0.300604	0.2703006	0.4442272	0.2209186	0.06455364	0.270301	0	0.444227	0.220919	0	0.0645536	0.270301	0.444227	0.220919	0.0645536
300	-19.75071	-19.81567	0.06495419	1.399216	0.327589	0.327589	0.09891017	0.3717842	0.4625986	0.06670708	0.0989102	0	0.371784	0.462599	0	0.0667071	0.0989102	0.371784	0.462599	0.0667071
400	-19.20136	-18.08239	-1.118966	1.44746	1.46327	1.46327	0.00698794	0.6956669	0.09271036	0.2046348	0.00698794	0	0.695667	0.0927104	0	0.204635	0.00698794	0.695667	0.0927104	0.204635
500	-22.27528	-21.87242	-0.4028535	1.440054	0.754559	0.754559	0.3929284	0.3785508	0.09045055	0.1380702	0.392928	0	0.378551	0.0904505	0	0.13807	0.392928	0.378551	0.0904505	0.13807
600	-16.11159	-15.66813	-0.4434626	1.174131	1.06109	1.06109	0.2040369	0.272259	0.418512	0.105192	0.204037	0	0.272259	0.418512	0	0.105192	0.204037	0.272259	0.418512	0.105192
700	-22.1759	-22.36522	0.189313	1.514056	0.0883903	0.0883903	0.2542756	0.542492	0.1410986	0.06213377	0.254276	0	0.542492	0.141099	0	0.0621338	0.254276	0.542492	0.141099	0.0621338
800	-19.28137	-18.36244	-0.9189251	2.685053	0.0256318	0.0256318	0.07670834	0.443826	0.3176275	0.1618382	0.0767083	0	0.443826	0.317628	0	0.161838	0.0767083	0.443826	0.317628	0.161838
900	-19.91945	-18.88346	-1.035989	1.913919	0.913829	0.913829	0.09930971	0.5143566	0.2766458	0.1096878	0.0993097	0	0.514357	0.276646	0	0.109688	0.0993097	0.514357	0.276646	0.109688
1000	-19.827	-19.10821	-0.7187931	1.515932	0.994621	0.994621	0.145547	0.5121117	0.2169877	0.1253536	0.145547	0	0.512112	0.216988	0	0.125354	0.145547	0.512112	0.216988	0.125354
1100	-16.58582	-14.7081	-1.877722	3.272419	0.397063	0.397063	0.0410236	0.3280569	0.5934605	0.03745899	0.0410236	0	0.328057	0.59346	0	0.037459	0.0410236	0.328057	0.59346	0.037459
1200	-24.45931	-23.74682	-0.7124884	1.778414	0.725834	0.725834	0.1136107	0.286044	0.236995	0.3633503	0.113611	0	0.286044	0.236995	0	0.36335	0.113611	0.286044	0.236995	0.36335
1300	-17.29828	-17.24739	-0.05089325	1.297428	0.545225	0.545225	0.03676178	0.7328395	0.06305871	0.16734	0.0367618	0	0.732839	0.0630587	0	0.16734	0.0367618	0.732839	0.0630587	0.16734
1400	-15.67965	-14.61168	-1.067966	2.339261	0.520465	0.520465	0.04175643	0.8074267	0.03285872	0.1179581	0.0417564	0	0.807427	0.0328587	0	0.117958	0.0417564	0.807427	0.0328587	0.117958
1500	-19.43827	-20.5081	1.069833	0.5376712	0.184255	0.184255	0.0503934	0.3379067	0.2151319	0.396568	0.0503934	0	0.337907	0.215132	0	0.396568	0.0503934	0.337907	0.215132	0.396568
1600	-17.19099	-16.14724	-1.043752	1.930982	0.904529	0.904529	0.1303399	0.7172828	0.01350737	0.1388699	0.13034	0	0.717283	0.0135074	0	0.13887	0.13034	0.717283	0.0135074	0.13887
1700	-26.28883	-25.44663	-0.842197	2.561328	0.0726286	0.0726286	0.3110423	0.2401906	0.2681626	0.1806045	0.311042	0	0.240191	0.268163	0	0.180605	0.311042	0.240191	0.268163	0.180605
1800	-20.16459	-20.75657	0.591978	0.9514808	0.248301	0.248301	0.07507481	0.7028551	0.06717351	0.1548966	0.0750748	0	0.702855	0.0671735	0	0.154897	0.0750748	0.702855	0.0671735	0.154897
1900	-14.26739	-10.14488	-4.122508	4.543047	1.37122	1.37122	0.02411863	0.894756	0.0007309096	0.08039443	0.0241186	0	0.894756	0.00073091	0	0.0803944	0.0241186	0.894756	0.00073091	0.0803944
2000	-22.05384	-20.83171	-1.222131	2.613575	0.400316	0.400316	0.005888254	0.6153908	0.1772958	0.2014252	0.00588825	0	0.615391	0.177296	0	0.201425	0.00588825	0.615391	0.177296	0.201425
2100	-17.72759	-18.0119	0.2843121	1.308215	0.199233	0.199233	0.02401446	0.7233551	0.0901084	0.162522	0.0240145	0	0.723355	0.0901084	0	0.162522	0.0240145	0.723355	0.0901084	0.162522
2200	-14.97579	-14.41375	-0.562041	1.696069	0.657731	0.657731	0.01185645	0.8221351	0.05305741	0.112951	0.0118564	0	0.822135	0.0530574	0	0.112951	0.0118564	0.822135	0.0530574	0.112951
2300	-16.18657	-14.59129	-1.595276	1.748822	1.63821	1.63821	0.04131761	0.8110045	0.03671876	0.1109591	0.0413176	0	0.811005	0.0367188	0	0.110959	0.0413176	0.811005	0.0367188	0.110959
